question,answer,explanation
[La Belle et la bête] Belle adore lire,true,
[Blanche neige et les 7 nains] Blanche neige n'a pas peur de la fôret,false,
[La belle au bois dormant] Pimprenelle veut que la robe soit bleu,true,
[La ferme se rebelle] Maguy est la nouvelle vache,true,
[Pinocchio] Pinocchio est devenu un enfant,true,
[Les 101 dalmatiens] Pongo et Perdita ont 101 chiots,false,
[Rox et Rouky] Rox est le chien,false,
[Les aristochats] Roquefort est la souris,true,
Blanche-Neige est la seule à ne pas changer de coiffure dans son film,false,"Les princesses qui ne changent pas de coiffures : Blanche-Neige, Aurore et Merida"
Merida est la seule princesse Pixar,true,
Mélodie est la seule princesse venant de la terre et de la mer,true,"Son père est un humain, il vient de la terre et sa mère était une sirène à la base, elle vient donc de la mer. Résultat, Mélodie est la princesse venant à la fois de la terre et de la mer. En plus tout est dit dans la première chanson"
Ariel est la première princesse qui a chanté une chanson pendant son film,false,La première princesse qui a chanté une chanson pendant son film est Blanche-Neige
[La Reine des Neiges] Anna a 15 ans,false,Anna a 18 ans
Kida a 8800 ans,true,
Cendrillon est la troisième princesse à avoir été créée par les studios de Walt Disney,false,Cendrillon est la deuxième princesse a avoir été créée en 1950. La troisième a avoir été créée est Aurore en 1959
Mulan est la seule princesse sachant tirer avec un arc,false,Merida sait aussi tirer avec un arc
"Aurore, Vaiana et Mulan sont filles uniques",true,
Jasmine est la seule princesse a porté un pantalon,false,Mulan porte aussi un pantalon quand elle se déguise en garçon
Elsa est la plus vieille des princesses Disney,false,Kida est la plus vielle princesse Disney
Tiana et Pocahontas sont les seules à se transformer en un animal,false,Pocahontas ne se transforme pas en animal
"Dans Dumbo, la petite souris s’appelle Timon",false,Il s'appelle Timothée
"Dans Fantasia, les morceaux de musique sont dirigés par le chef d'orchestre Leopold Stokowski",true,
"Dans La Belle et le Clochard, Tante Sarah est propriétaire de deux siamois",true,
Le conte de Pinocchio a été inspiré par Carlo Collodi,true,
"Dans la Belle au Bois Dormant, quand Aurore se pique le doigt, elle porte une robe bleue",true,
Le Roi Lion est sorti en 1996,false,Il est sorti en 1994
"Dans Peter Pan, pour se rendre au Pays Imaginaire, il faut courir",false,Il faut voler bien sûr !
Bambi a un ami lapin appelé Fleur,false,"Fleur est un putois, le lapin s'appelle Panpan"
Le petit chien d'Anastasia s'appelle Mushu,false,Il s'appelle Pooka
"Dans le Livre de la Jungle, Kaa est le chef des éléphants",false,Kaa est le serpent
Les yeux de Raiponce sont bleus,false,Ils sont verts
Le gilet d'Aladdin est violet,true,
Les chaussures de Mickey sont jaunes,true,
[Peter Pan] La robe de Wendy est rose,false,Elle est bleue
[Blanche Neige et les 7 nains] Simplet a un bonnet vert,false,Son bonnet est violet
Blanche Neige a un noeud bleu dans les cheveux,false,Son noeud est rouge
Raiponce a les cheveux longs,true,
Minnie a un noeud rouge dans les cheveux,true,Il est rouge avec des points blancs
Ariel a les cheveux roux,true,
Raiponce est née dans la tour de la sorcière,false,Elle est née au château
"Dans Rebelle, la mère se transforme en ours",true,
Le vrai nom de Flynn Rider est Eugène Fitzerbert,true,
Le rêve de Raiponce est de nager avec les dauphins,false,
Raiponce est le 101e film Disney,true,
Dumbo est une giraffe,false,C'est un éléphant
Pocahontas a un collier beige,false,Il est bleu
Rebelle se passe en Ecosse,true,
[Reine des Neiges] Elsa est l'ainée,true,
Yasmine ne porte pas de boucles d'oreilles,false,
[Blanche Neige et les Nains] Grincheux a un bonnet vert,false,Il est marron
